GPS_Lat,GPS_Lon,Pressvalve_Left,Pressvalve_Right,GSR,Point Number
51.51547542,0.00633893,525,518,288,1
51.51546424,0.006322939,242,75,286,2
51.51546757,0.006348254,566,729,303,3
51.51547091,0.006342991,195,743,298,4
51.51548286,0.006303559,184,278,288,5
51.51548242,0.006304426,386,311,288,6
51.51548526,0.006296946,178,269,289,7
51.51548551,0.006296977,58,200,290,8
51.51549322,0.006302614,129,13,292,9
51.51549501,0.006326452,270,134,293,10
51.51549132,0.006309528,128,296,292,11
51.51550185,0.006323488,54,191,292,12
51.51551084,0.006309028,0,169,291,13
51.51550164,0.006324697,108,112,290,14
51.51551853,0.006290655,395,463,289,15
51.51551707,0.006306179,589,68,287,16
51.51551317,0.006290783,16,99,289,17
51.51551403,0.006266813,53,143,291,18
51.5155349,0.00628432,94,122,291,19
51.51553717,0.006258346,46,197,293,20
51.51553296,0.006258546,493,381,295,21
51.51553699,0.006281674,207,271,294,22
51.51553649,0.006300315,182,251,292,23
51.51554276,0.006253772,194,12,293,24
51.51553836,0.006281095,185,717,301,25
51.51555218,0.00627712,243,436,295,26
51.5155534,0.006258251,497,98,295,27
51.51554758,0.006260365,501,348,294,28
51.51555096,0.006241479,176,280,293,29
51.51555866,0.006262073,256,184,291,30
51.51556922,0.006271139,283,263,289,31
51.51556113,0.006249766,235,544,289,32
51.51558244,0.006264355,80,248,289,33
51.51558544,0.006273191,399,677,288,34
51.51558668,0.006246863,216,375,286,35
51.51557404,0.00623475,231,127,288,36
51.51558551,0.00624322,319,536,287,37
51.51558578,0.006258062,53,529,288,38
51.51559457,0.006229264,607,166,290,39
51.51560473,0.006235743,231,83,289,40
51.51560189,0.006225178,101,574,289,41
51.51560847,0.006230275,506,242,291,42
51.5156051,0.006235879,676,288,291,43
51.51561237,0.006232839,422,378,293,44
51.51561715,0.006226273,237,98,294,45
51.51561238,0.006241264,130,273,295,46
51.51561798,0.006240375,119,88,294,47
51.5156266,0.006212224,469,548,295,48
51.51562029,0.006237736,167,595,295,49
51.51563031,0.006219888,142,498,293,50
51.5156309,0.006221877,219,609,294,51
51.51563772,0.006205289,319,202,295,52
51.51563025,0.006211883,227,194,294,53
51.51563462,0.006227934,103,155,292,54
51.51563753,0.006242267,85,361,293,55
51.51565468,0.006235772,691,364,292,56
51.51564657,0.006205152,80,568,292,57
51.51565775,0.006221134,385,465,294,58
51.51565433,0.00617817,253,629,292,59
51.5156567,0.006178397,705,235,297,60
51.51566381,0.006225044,472,379,289,61
51.51566235,0.006201149,179,185,287,62
51.51567578,0.006213746,139,259,287,63
51.51566788,0.006202154,210,210,285,64
51.51568256,0.006198963,136,492,286,65
51.51568337,0.006192983,622,619,286,66
51.51568821,0.006198237,160,306,286,67
51.51568784,0.006181594,655,551,287,68
51.51569406,0.006189046,272,103,288,69
51.51569892,0.006166336,188,407,286,70
51.51569589,0.006185622,381,49,284,71
51.51569615,0.006170379,0,384,284,72
51.51570544,0.006166814,382,319,286,73
